Pickup_date,locationID
2015-01-06 07:25:00,265.0
2015-01-06 07:45:00,265.0
2015-01-06 08:00:00,237.0
2015-01-06 08:15:00,""
2015-01-06 08:30:00,28.0
2015-01-06 09:15:00,43.0
2015-01-06 09:30:00,234.0
2015-01-06 10:00:00,""
2015-01-06 11:00:00,99.0
2015-01-06 11:39:00,164.0
2015-01-06 11:45:00,161.0
2015-01-06 12:15:00,161.0
2015-01-06 12:15:00,87.0
2015-01-06 12:30:00,242.0
2015-01-06 13:00:00,75.0
2015-01-06 13:30:00,162.0
2015-01-06 13:40:00,170.0
2015-01-06 13:55:00,262.0
2015-01-06 14:30:00,236.0
2015-01-06 14:44:00,236.0
2015-01-06 15:00:00,162.0
2015-01-06 15:30:00,""
2015-01-06 15:30:00,252.0
2015-01-06 17:16:00,132.0
2015-01-06 17:21:00,132.0
2015-01-06 17:40:00,138.0
2015-01-06 17:45:00,229.0
2015-01-06 19:30:00,234.0
2015-01-06 20:00:00,""
2015-01-06 20:10:00,265.0
2015-01-06 20:10:00,65.0
2015-01-06 20:12:00,244.0
2015-01-06 20:15:00,70.0
2015-01-06 20:18:00,234.0
2015-01-06 20:43:00,163.0
2015-01-06 20:45:00,234.0
2015-01-06 21:00:00,246.0
2015-01-06 21:00:00,234.0
2015-01-06 21:00:00,163.0
2015-01-06 21:00:00,""
2015-01-06 21:00:00,161.0
2015-01-06 21:03:00,87.0
2015-01-06 21:05:00,87.0
2015-01-06 21:12:00,65.0
2015-01-06 21:15:00,246.0
2015-01-06 21:15:00,65.0
2015-01-06 21:15:00,161.0
2015-01-06 21:27:00,87.0
2015-01-06 21:32:00,""
2015-01-06 21:37:00,65.0
2015-01-06 21:38:00,""
2015-01-06 21:38:00,87.0
2015-01-06 21:39:00,87.0
2015-01-06 21:53:00,162.0
2015-01-06 21:55:00,138.0
2015-01-06 22:08:00,""
2015-01-06 22:25:00,132.0
2015-01-06 22:33:00,234.0
2015-01-06 22:36:00,""
2015-01-06 22:46:00,87.0
2015-01-06 22:46:00,229.0
2015-01-06 22:50:00,231.0
2015-01-06 22:54:00,229.0
2015-01-06 22:55:00,43.0
2015-01-06 23:01:00,""
2015-01-06 23:02:00,163.0
2015-01-06 23:02:00,119.0
2015-01-06 23:03:00,""
2015-01-06 23:20:00,65.0
2015-01-06 23:30:00,265.0
2015-01-06 23:31:00,161.0
2015-01-06 23:45:00,45.0
2015-01-07 00:25:00,""
2015-01-07 00:28:00,161.0
2015-01-07 00:37:00,162.0
2015-01-07 00:37:00,229.0
2015-01-07 00:39:00,""
2015-01-07 00:41:00,229.0
2015-01-07 00:48:00,""
2015-01-07 00:53:00,162.0
2015-01-07 02:45:00,162.0
2015-01-07 04:05:00,69.0
2015-01-07 04:30:00,90.0
2015-01-07 04:50:00,232.0
2015-01-07 05:00:00,113.0
2015-01-07 05:00:00,74.0
2015-01-07 05:00:00,""
2015-01-07 05:00:00,115.0
2015-01-07 05:03:00,216.0
2015-01-07 05:15:00,90.0
2015-01-07 05:30:00,141.0
2015-01-07 05:30:00,""
2015-01-07 05:30:00,119.0
2015-01-07 05:45:00,121.0
2015-01-07 05:45:00,229.0
2015-01-07 06:00:00,""
2015-01-07 06:05:00,""
2015-01-07 06:20:00,229.0
2015-01-07 06:30:00,140.0
2015-01-07 06:30:00,113.0
2015-01-07 07:00:00,145.0
2015-01-07 07:15:00,237.0
2015-01-07 07:15:00,141.0
2015-01-07 07:30:00,13.0
2015-01-07 07:30:00,265.0
2015-01-07 07:55:00,231.0
2015-01-07 08:05:00,138.0
2015-01-07 08:30:00,229.0
2015-01-07 09:30:00,236.0
2015-01-07 09:30:00,48.0
2015-01-07 09:45:00,189.0
2015-01-07 10:00:00,186.0
2015-01-07 10:28:00,265.0
2015-01-07 11:40:00,114.0
2015-01-07 12:00:00,65.0
2015-01-07 12:15:00,161.0
2015-01-07 13:00:00,236.0
2015-01-07 13:08:00,132.0
2015-01-07 13:15:00,161.0
2015-01-07 15:15:00,231.0
2015-01-07 15:15:00,""
2015-01-07 15:16:00,132.0
2015-01-07 15:50:00,6.0
2015-01-07 16:00:00,265.0
2015-01-07 16:15:00,161.0
2015-01-07 17:00:00,162.0
2015-01-07 17:46:00,138.0
2015-01-07 18:00:00,262.0
2015-01-07 18:50:00,100.0
2015-01-07 18:55:00,162.0
2015-01-07 19:20:00,87.0
2015-01-07 19:26:00,69.0
2015-01-07 19:45:00,""
2015-01-07 19:51:00,69.0
2015-01-07 20:00:00,52.0
